Location,Household Type,TimeFrame,DataFormat,Amount,Fips
Zip Code 11218,Families,2019,Dollars,80422,11218
Zip Code 11219,Families,2019,Dollars,41839,11219
Zip Code 11220,Families,2019,Dollars,47150,11220
Zip Code 11221,Families,2019,Dollars,61331,11221
Zip Code 11222,Families,2019,Dollars,105557,11222
Zip Code 11223,Families,2019,Dollars,65254,11223
Zip Code 11224,Families,2019,Dollars,43584,11224
Zip Code 11225,Families,2019,Dollars,65968,11225
Zip Code 11226,Families,2019,Dollars,65178,11226
Zip Code 11228,Families,2019,Dollars,84054,11228
Zip Code 11229,Families,2019,Dollars,81481,11229
Zip Code 11230,Families,2019,Dollars,66240,11230
Zip Code 11231,Families,2019,Dollars,141500,11231
Zip Code 11232,Families,2019,Dollars,58913,11232
Zip Code 11233,Families,2019,Dollars,48545,11233
Zip Code 11234,Families,2019,Dollars,95976,11234
Zip Code 11235,Families,2019,Dollars,71542,11235
Zip Code 11236,Families,2019,Dollars,82853,11236
Zip Code 11237,Families,2019,Dollars,43640,11237
Zip Code 11238,Families,2019,Dollars,118291,11238
Zip Code 11239,Families,2019,Dollars,34528,11239
Zip Code 11354,Families,2019,Dollars,47405,11354
Zip Code 11355,Families,2019,Dollars,45619,11355
Zip Code 11356,Families,2019,Dollars,66463,11356
Zip Code 11357,Families,2019,Dollars,98213,11357
Zip Code 11358,Families,2019,Dollars,78357,11358
Zip Code 11360,Families,2019,Dollars,107188,11360
Zip Code 11361,Families,2019,Dollars,97203,11361
Zip Code 11362,Families,2019,Dollars,121625,11362
Zip Code 11363,Families,2019,Dollars,128009,11363
Zip Code 11364,Families,2019,Dollars,98424,11364
Zip Code 11365,Families,2019,Dollars,75409,11365
Zip Code 11366,Families,2019,Dollars,93913,11366
Zip Code 11367,Families,2019,Dollars,72975,11367
Zip Code 11368,Families,2019,Dollars,51779,11368
Zip Code 11369,Families,2019,Dollars,64000,11369
Zip Code 11370,Families,2019,Dollars,81712,11370
Zip Code 11372,Families,2019,Dollars,62626,11372
Zip Code 11373,Families,2019,Dollars,58918,11373
Zip Code 11374,Families,2019,Dollars,87591,11374
Zip Code 11375,Families,2019,Dollars,109994,11375
Zip Code 11377,Families,2019,Dollars,64678,11377
Zip Code 11378,Families,2019,Dollars,87242,11378
Zip Code 11379,Families,2019,Dollars,102200,11379
Zip Code 11385,Families,2019,Dollars,76414,11385
Zip Code 11411,Families,2019,Dollars,113769,11411
Zip Code 11412,Families,2019,Dollars,94103,11412
Zip Code 11413,Families,2019,Dollars,99229,11413
Zip Code 11414,Families,2019,Dollars,89181,11414
Zip Code 11415,Families,2019,Dollars,86948,11415
Zip Code 11416,Families,2019,Dollars,75471,11416
Zip Code 11417,Families,2019,Dollars,85046,11417
Zip Code 11418,Families,2019,Dollars,72047,11418
Zip Code 11419,Families,2019,Dollars,79508,11419
Zip Code 11420,Families,2019,Dollars,82528,11420
Zip Code 11421,Families,2019,Dollars,78779,11421
Zip Code 11422,Families,2019,Dollars,92304,11422
Zip Code 11423,Families,2019,Dollars,82156,11423
Zip Code 11426,Families,2019,Dollars,115136,11426
Zip Code 11427,Families,2019,Dollars,96292,11427
Zip Code 11428,Families,2019,Dollars,88320,11428
Zip Code 11429,Families,2019,Dollars,97941,11429
Zip Code 11432,Families,2019,Dollars,67198,11432
Zip Code 11433,Families,2019,Dollars,65591,11433
Zip Code 11434,Families,2019,Dollars,81641,11434
Zip Code 11435,Families,2019,Dollars,70354,11435
Zip Code 11436,Families,2019,Dollars,79740,11436
Zip Code 11691,Families,2019,Dollars,61360,11691
Zip Code 11692,Families,2019,Dollars,50516,11692
Zip Code 11693,Families,2019,Dollars,66250,11693
Zip Code 11694,Families,2019,Dollars,111046,11694
Zip Code 11697,Families,2019,Dollars,123438,11697
